Localidade,Código,Ano,Assinatura Celular,Usuários de Internet(%),Número de Usuários de Internet,Assinatura de Banda Larga,Anos_Escola_Ajustados_Aprendizagem,Razão bruta de matrícula combinada para educação terciária - Feminino,Razão bruta de matrícula combinada para educação terciária - Masculino,"Taxa líquida de matrícula combinada total, secundário, masculino","Taxa líquida de matrícula combinada total, secundário, feminino","Taxa líquida de matrícula combinada total, primário, feminino","Taxa líquida de matrícula combinada total, primário, masculino"
Portugal,PRT,2020,116.2629929,78.26165771,8059531,40.80527496,11.310053,76.06442,64.75177,,,,
Qatar,QAT,2010,117.7835083,69.0,1182323,7.85351944,7.963889,26.28676,4.46534,96.0349,91.7859,,
Qatar,QAT,2017,146.3838654,97.38884735,2640956,9.415986061,8.5,51.5869,6.67459,,,93.32709,93.75847
Qatar,QAT,2018,141.8558197,99.65284729,2757138,9.631079674,8.734696,54.86746,7.01345,,,95.16615,93.07967
Qatar,QAT,2020,131.844635,99.65284729,2750807,10.2783947,8.77822,58.7689,8.0447,,,,
Romania,ROU,2010,118.9925842,39.93000031,8119850,14.65719032,8.935521,74.36121,54.20947,,,90.70308,91.89562
Romania,ROU,2017,113.9718933,63.74728394,12557483,24.19247818,8.81,55.43648,43.78587,82.39479,83.3281,82.0348,82.41144
Romania,ROU,2018,116.0354156,70.68127441,13858321,26.09238243,8.613272,57.41595,45.07366,,,,
Romania,ROU,2020,117.4361343,78.45526886,15253305,29.55023003,8.369189,60.18285,46.73869,,,,
Russia,RUS,2017,156.1874084,76.00814056,110555774,21.37237549,11.9,89.11636,75.03015,90.39799,90.97303,,
Russia,RUS,2018,157.4313049,80.86472321,117781320,22.00088692,11.776281,91.72388,77.75325,,,,
Rwanda,RWA,2017,73.61026001,21.76763344,2662256,0.181788415,3.75,6.97135,7.78859,,,97.39013,96.47141
Rwanda,RWA,2018,78.85411072,25.0,3132952,0.060973976,3.8871112,6.01428,7.45429,32.92642,38.78909,95.13837,94.44055
Rwanda,RWA,2020,81.95050812,26.5,3483787,0.136540323,3.9257712,6.47335,8.07077,,,,
Saint Lucia,LCA,2018,101.6795959,48.29999924,85923,17.7388401,8.201881,18.6856,9.4399,80.91649,81.71289,96.08382,94.73013
Saint Lucia,LCA,2020,110.5501938,53.29999924,95538,17.97121429,8.4803295,22.0086,10.69699,,,,
Saint Vincent and the Grenadines,VCT,2018,102.0252075,56.0,58966,22.33261681,7.798963,12.960555,4.1718554,87.44717,91.64213,,
Samoa,WSM,2018,50.98685074,0.0,0,0.862697482,6.6519566,20.30426,9.58589,,,,
Samoa,WSM,2020,34.77577209,0.0,0,0.852762401,7.2451687,20.28325,14.42088,,,,
Saudi Arabia,SAU,2010,188.043869,41.0,12058891,6.241818905,7.4291887,39.29681,34.07515,,,96.91765,97.29473
Saudi Arabia,SAU,2017,121.4789505,94.17559814,32201575,20.09986115,8.1,69.34002,70.03419,92.0879,88.96857,95.2649,95.1099
Saudi Arabia,SAU,2018,122.5733109,93.31000519,32675421,20.24129105,8.0062895,69.87621,66.33683,98.52917,94.10711,94.43822,94.64963
Saudi Arabia,SAU,2020,124.1328201,97.86000061,35226770,22.66412926,7.8881774,73.55699,67.93197,,,,
Senegal,SEN,2010,65.8117981,8.0,1002410,0.620335102,4.5150957,5.60403,9.61577,,,73.6628,69.52928
Senegal,SEN,2017,102.1986084,29.64312363,4493243,0.725030303,4.78,8.64482,14.41189,35.9396,39.42459,79.59276,71.27036
Senegal,SEN,2018,104.4506378,35.29999924,5497943,0.818830311,4.8641224,10.30509,15.23583,,,,
Senegal,SEN,2020,113.9454803,42.59999847,7001787,0.918619633,4.838319,12.3238,15.74208,,,,
Serbia,SRB,2010,136.0150452,40.90000153,3130383,11.79567719,9.430452,55.62779,42.84228,89.32344,91.05135,92.48981,92.99222
Serbia,SRB,2017,123.1427536,70.33083344,5250114,21.14926529,11.15,76.85531,56.72797,92.01063,92.92801,95.21544,95.14166
Serbia,SRB,2018,121.0748215,73.36071014,5453507,22.28909492,11.210345,78.25281,56.69626,91.62383,92.5323,94.58089,94.52288
Serbia,SRB,2020,120.2168579,78.36804199,5766328,25.18350029,9.752607,79.94458,56.99279,,,,
Seychelles,SYC,2010,128.8426971,41.0,37894,7.443241596,8.550605,,,72.50807,77.01671,,
Seychelles,SYC,2017,173.4966431,58.76980972,59844,15.78647137,10.14,27.91195,12.09792,75.02705,84.44895,,
Seychelles,SYC,2018,184.2980194,70.09999847,72287,20.27787018,9.674071,23.30402,11.23562,77.63271,82.59028,,
Seychelles,SYC,2020,186.5821991,79.0,83381,35.55370331,9.700825,20.99087,8.75505,,,,
